Additional Information,Hours/Shift,Job Description,Minimum Qual Requirements,Preferred Skills,Recruitment Contact,Residency Requirement,To Apply,Work Location,jobNum
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity",Not listed,"Under general direction, with wide latitude for independent judgment and un-reviewed action and decision, this Agency Attorney Level 3 candidate will perform difficult and complex legal work having significant policy consequences in the Administration for Children's Services (ACS) Employment Law Unit.

Specific duties will include:
• Represent ACS at disciplinary hearings involving complex cases at the Office of Administrative Trials and Hearings (OATH) and appeals at the Civil Service Commission, as well as hearings regarding employee misconduct, under the CBA grievance procedure.
• Analyze allegations of employee misconduct and incompetence, including but not limited to a significant number of incompetence referrals based on alleged practice failures in child protective and child welfare case work, and fraud referrals with reference to case record entries, each necessitating the review of extensive progress notes and other case record documents.
• Draft pleadings and prepare witnesses for trial.
• Draft stipulations of settlement.
• Perform complex legal research and writing on issues relevant to labor, employment, and discrimination law. • Investigate employee misconduct.
• Serve as Hearing Officer at Step I and Step II Employment Law hearings, when needed.
• Prepare legal opinions of major importance and advise management on issues of employee discipline.
• Draft position statements in response to administrative complaints of employment discrimination filed with venues outside of ACS, such as the US Equal Employment Opportunity Commission, the NYS Division of Human Rights and the NYC Commission on Human Rights.
• Collaborate with the NYC Law Department on lawsuits and appeals involving discrimination and disciplinary matters.
• Collaborate with NYC Conflicts of Interest Board, the Department of Investigation, NYC OLR, and other government agencies on civil and criminal cases.
• Participate in special projects as needed including but not limited to reviewing and advising on Agency policy as it pertains to Employment Law; and developing and updating training materials and training Agency program area and executive staff on Employment Law issues.","1. Admission to the New York State Bar; and either ""2"" or ""3"" below.
2. One year of satisfactory United States legal experience subsequent to admission to any state bar; or
3. Six months of satisfactory service as an Agency Attorney Interne (30086). 
Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.
In addition to meeting the minimum Qualification Requirements:
To be assigned to Assignment Level (AL) II, candidates must have one year of experience at Assignment Level I or two years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment. To be assigned to AL III candidates must have two years of experience in Assignment Levels I and/or II or three years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment.","Experience in Employment law, litigation, and/or Child Welfare Law. Understanding of NYC Civil Service system. Ability to handle complex assignments and turnaround high quality work product quickly. Excellent research and writing skills. Excellent communication skills.",Not listed,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","Click on ""Apply Now"" button",Not listed,424031
"Note: It is important that you have filed for, take and pass the Open Competitive exam# 0192 for the civil
service title listed above in order to avoid being “bumped” out of your position when the Eligible List for
this title is established.

Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.",Not listed,"New York City Administration for Children’scServices, Division of Youth and Family Justice (DYFJ) provides secure and non-secure detention (NSD) services for Juvenile Delinquents and Juvenile Offenders whose cases are pending in the Family or Criminal Courts. Judges decide whether youth should be detained while their court cases are being resolved, and in which type of residential setting youth should reside, depending on the youth’s risk level. The Administration for Children’s Services is currently seeking qualified applicants for the position of Youth Development Specialist (YDS). This position is an integral part of an interdisciplinary team responsible for the custody, direct care, supervision, counseling, and accountability of youths in the custody of the Administration for Children’s Services in juvenile detention facilities. Youth Development Specialists, under direct supervision during an assigned tour of duty, will perform the following duties:

• Facilitate, engage and support youth in all activities, including school, wake-up and bedtime routines, meals, chores, recreation, religious services, court preparation, court attendance, family visits, health care visits and other activities as necessary.
• Facilitate youth learning of pro-social, academic, and vocational skills.
• Mentor and guide youth individually and in groups while using a behavior management system to shape youth behavior.
• Facilitate youth group meetings in the residential unit and elsewhere.
• Address conflicts with crisis intervention methods such as verbal de-escalation, reframing strategies, and physical de-escalation techniques, using the least amount of physical intervention necessary.
• May serve as part of a rapid response team to respond to emergency situations.
• Work with youth to provide gang remediation activities and anti-bullying and violence reduction interventions.
• As part of an interdisciplinary team, develop individualized and group treatment, programming, and safety plans and support for academic achievement.
• Follow all policies and procedures including health, safety, and security protocols such as those concerning searches, headcounts, bed checks, intervention in volatile situations, the use of restraints, and others.
• Observe youth closely and record observations.
• Complete required reports on attendance, incidents, and behavior observations.
• Participate in youth admission and orientation processes.
• Drive transport vehicles and ensure youth safety in vehicles and court detention rooms.","1. 1. A four year high school diploma or its educational equivalent approved by a State’s department of education or a recognized accrediting organization, and two years of full-time satisfactory experience working directly with juveniles or young adults (ages 10-24) in a group, community, educational, or institutional setting or program performing recreational, juvenile detention, vocational, mentoring, or anti-violence work; or youth leadership development, young adult leadership development, youth and family health promotion, community organizing with youth and families, and/or closely related activities, which can include internships, volunteer work, athletic programs, or closely related experience; or

2. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by one year and three months of full-time satisfactory experience as described in “1” above; or

3. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; and nine months of full-time satisfactory experience as described in “1” above; or

4. A baccalaureate degree from an accredited college including or supplemented by at least six months experience as described in “1” above; or

5. A baccalaureate degree from an accredited college including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; or

6. A satisfactory combination of education and/or experience equivalent to “1”, “2”, or “3” above:
a. Honorable full-time United States military service commanding young adults (up to age 24) may be substituted for experience as described in “1” above, on a year-for-year basis, up to a maximum of two years of military service for two years of experience;
b. Academic coursework in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field may be substituted for experience as described in “1” above, at the rate of 12 semester credits from an accredited college for 6 months of experience;
c. General undergraduate education may be substituted for experience as described in “1” above, at the rate of 60 semester credits from an accredited college for 9 months of experience;

However, all candidates must possess a four year high school diploma or its educational equivalent.",Not listed,Not listed,New York City Residency is not required for this position,"Click on the ""Apply Now"" button.",Not listed,455993
"Note: It is important that you have filed for, take and pass the Open Competitive exam# 0192 for the civil
service title listed above in order to avoid being “bumped” out of your position when the Eligible List for
this title is established.

Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and
maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.",Not listed,"New York City Administration for Children’s Services, Division of Youth and Family Justice (DYFJ) provides secure and non-secure detention (NSD) services for Juvenile Delinquents and Juvenile Offenders whose cases are pending in the Family or Criminal Courts. Judges decide whether youth should be detained while their court cases are being resolved, and in which type of residential setting youth should reside, depending on the youth’s risk level. The Administration for Children’s Services is currently seeking qualified applicants for the position of Youth Development Specialist (YDS). This position is an integral part of an interdisciplinary team responsible for the custody, direct care, supervision, counseling, and accountability of youths in the custody of the Administration for Children’s Services in juvenile detention facilities. Youth Development Specialists, under direct supervision during an assigned tour of duty, will perform the following duties:

• Facilitate, engage and support youth in all activities, including school, wake-up and bedtime routines, meals, chores, recreation, religious services, court preparation, court attendance, family visits, health care visits and other activities as necessary.
• Facilitate youth learning of pro-social, academic, and vocational skills.
• Mentor and guide youth individually and in groups while using a behavior management system to shape youth behavior.
• Facilitate youth group meetings in the residential unit and elsewhere.
• Address conflicts with crisis intervention methods such as verbal de-escalation, reframing strategies, and physical de-escalation techniques, using the least amount of physical intervention necessary.
• May serve as part of a rapid response team to respond to emergency situations.
• Work with youth to provide gang remediation activities and anti-bullying and violence reduction interventions.
• As part of an interdisciplinary team, develop individualized and group treatment, programming, and safety plans and support for academic achievement.
• Follow all policies and procedures including health, safety, and security protocols such as those concerning searches, headcounts, bed checks, intervention in volatile situations, the use of restraints, and others.
• Observe youth closely and record observations.
• Complete required reports on attendance, incidents, and behavior observations.
• Participate in youth admission and orientation processes.
• Drive transport vehicles and ensure youth safety in vehicles and court detention rooms.","1. 1. A four year high school diploma or its educational equivalent approved by a State’s department of education or a recognized accrediting organization, and two years of full-time satisfactory experience working directly with juveniles or young adults (ages 10-24) in a group, community, educational, or institutional setting or program performing recreational, juvenile detention, vocational, mentoring, or anti-violence work; or youth leadership development, young adult leadership development, youth and family health promotion, community organizing with youth and families, and/or closely related activities, which can include internships, volunteer work, athletic programs, or closely related experience; or

2. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by one year and three months of full-time satisfactory experience as described in “1” above; or

3. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; and nine months of full-time satisfactory experience as described in “1” above; or

4. A baccalaureate degree from an accredited college including or supplemented by at least six months experience as described in “1” above; or

5. A baccalaureate degree from an accredited college including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; or

6. A satisfactory combination of education and/or experience equivalent to “1”, “2”, or “3” above:
a. Honorable full-time United States military service commanding young adults (up to age 24) may be substituted for experience as described in “1” above, on a year-for-year basis, up to a maximum of two years of military service for two years of experience;
b. Academic coursework in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field may be substituted for experience as described in “1” above, at the rate of 12 semester credits from an accredited college for 6 months of experience;
c. General undergraduate education may be substituted for experience as described in “1” above, at the rate of 60 semester credits from an accredited college for 9 months of experience;

However, all candidates must possess a four year high school diploma or its educational equivalent.",Not listed,Not listed,New York City Residency is not required for this position,"Click on the ""Apply Now"" button.",Not listed,455185
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and
maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.",Not listed,"The Administration for Children’s Services (ACS) protects and promotes safety and well-being of New York City’s children and families by providing child welfare, juvenile justice, and early care and education services. In child welfare, ACS contracts with private nonprofit organizations to support and stabilize families at risk of a crisis through preventive services and provides foster care services for children not able to safely remain at home. Each year, the agency’s Division of Child Protection conducts more than 55,000 investigations of suspected child abuse or neglect. In juvenile justice, ACS manages and funds services including detention and placement, intensive community-based alternatives for youth, and support services for families. In early care and education, ACS coordinates and funds programs and vouchers for close to 100,000 children eligible for subsidized care.

The New York City Administration for Children’s Services (ACS) is seeking an outstanding candidate to serve as Chief Operating Officer for the Division of Child and Family Well-Being. Under the direction of the Deputy Commissioner, with great latitude for the exercise of independent judgment, the Chief Operating Officer will be responsible for the administration, management and oversight of functions of the Division. The selected candidate will become an integral member of the leadership team for one of the country’s premier children’s services agencies dedicated to strengthening NYC’s families and their 1.8 million children.

The Chief Operating Officer is a critical position with diverse responsibilities responsible for project management of high-profile, critical initiatives that span within the Division and across the agency.

The Chief Operating Officer will be primarily responsible for, but not limited to, the following:

• Serve as confidential aide to the Deputy Commissioner and advise on the development and implementation of Division projects and initiatives.

• Apprise the Deputy Commissioner of emerging operational issues and propose solutions.

• Engage in short-term and long-term planning for all aspects of the Division’s operations as part of the Senior Executive Team.

• Develop and oversee internal dashboards for monitoring, tracking progress, and troubleshooting issues that arise within Division and cross-divisional initiatives.

• Contribute to the development, administration, communication and coordination of comprehensive organizational capacity building strategies.

• Liaise with, but not limited to, ACS’ Divisions of Financial Services, Information Technology, and other City agencies such as the Department of Education and Department of Social Services on initiatives related to the subsidized child care system.

• Oversee and manage the Division’s other than personnel services budget and information technology needs. 

• Represent the Division at senior-level meetings within ACS and with external stakeholders.

• Lead or participate in any other projects assigned by the Deputy Commissioner.","1. A baccalaureate degree from an accredited college or university, and four (4) years of broad progressively responsible experience including two (2) years at the administrative, executive, consultative or managerial level in a governmental agency, business firm, civic or community organization operating in the area of social services or a closely related field; or

2. A satisfactory equivalent combination of education and experience. However, all candidates must have a baccalaureate degree from an accredited college and the two (2) years of experience at the administrative or management level as described in ""1"" above.","The preferred candidate should have a proven track record in handling complex employee relations matters is a strong plus.

• Must be flexible, diplomatic, and a team player, with demonstrated supervisory experience and an ability to work and produce in a fast-paced environment.

• A graduate degree in public policy, public administration, social research, urban planning, or another related field.

• Candidate should possess strong process improvement, analytical, project management, communication and interpersonal skills with the ability to manage multiple tasks in a fast-paced work environment.

• Proficiency in the use of the Microsoft Office Suite of applications is required.

The preferred candidate must possess superb skills in the following Executive Core Competencies:

• Fundamental Competencies: - (i.e., interpersonal skills, oral communication, integrity/honesty, written communication, continual learning and public service motivation).

• Leading Strategic Change - (i.e., creativity and innovation, external awareness, flexibility, strategic thinking and vision).

• Leading, Teamwork & Developing People - (i.e., conflict management, leveraging diversity, developing others and team building). ACCOUNTABILITY & RESULTS DRIVEN - (i.e., accountability, customer service, decisiveness, entrepreneurship, problem solving and technical credibility).

• Accountability  - (i.e., accountability, customer service, decisiveness, entrepreneurship, problem solving and technical credibility).

• Building Coalitions - This core qualification involves the ability to build coalitions internally and with other Federal agencies, State and Local governments, nonprofit and private-sector organizations, foreign governments, or international organizations to achieve common goals. (i.e., partnering, political awareness and influencing/negotiating).",Not listed,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","Click the ""Apply Now"" button.

City Employees: Apply through the Employee Self Service portal (ESS) at www.nyc.gov/ess.  Search for JOB ID# 455550

NOTE: Only those candidates under consideration will be contacted.

NYC residency is required.",Not listed,455550
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report. 

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity",Not listed,"It is important that you have filed, taken, and passed the exam for the civil service title listed above in order to avoid being “bumped” out of your position when the Eligible List for this title is established. Anyone who is selected for this position must show proof that they have filed and taken this examination. Permanent  Program Evaluators are encouraged to apply.

The Agency Program Assistance (APA) unit is a core component of the ACS provider performance monitoring. The unit performs monthly safety checks, manages case/child safety and risk alerts, corrective actions, and facilitates continuous quality improvement with every provider agency and program under IOC. APA utilizes performance indicators and data concerning safety practice and service delivery in the provider agency’s programs to identify systemic strengths and weaknesses.

Reporting to the APA Supervising Manager the Performance Evaluator will be responsible for the following:

• Utilize performance indicators and data concerning service delivery in preventive or foster care programs to identify program-specific and systemic strengths and weaknesses.
• Gather qualitative data to assess the performance of provider agencies by conducting site visits and foster parent home visits, reviewing records and conducting surveys and interviews concerning service quality.
• Compile and analyze performance data and feedback and consult with Supervising Performance Monitors.
• Monitor provider agency improvement efforts and utilize a broad range of accountability tools.
• Conduct informative and educational meetings with provider agencies to discuss performance and findings.","1. A master’s degree from an accredited college or university in social work, economics, finance, accounting, business, personnel or public administration, human resources management, management science, operations research, organizational behavior, statistics, labor relations, psychology, sociology, nursing, counseling, child welfare, political science, urban studies, education or a closely related field, and two years satisfactory full-time professional experience performing quantitative/qualitative statistical analysis in the evaluation of social service programs and/or operations, or utilizing statistical analysis in social service program-level planning. At least one year of this experience must have been in a supervisory, administrative, managerial or consultative capacity or related area; or

A maximum of six semester credits from an accredited college in statistics and/or research methodologies may substitute for up to six months of the experience described in ""1"" above. However, all candidates must possess the one year of experience in a supervisory, administrative, managerial or consultative capacity, and at least an additional six months of full-time professional experience as described in “1"" above.

2. A baccalaureate degree from an accredited college or university in one of the fields listed in ""1"" above and three years of the full-time satisfactory professional experience described in ""1"" above, including at least one year of experience in a supervisory, administrative, managerial or consultative capacity or related area.

A maximum of six semester credits from an accredited college in statistics and/or research methodologies may substitute for up to six months of the experience described in ""1"" above. However, all candidates must possess the one year of experience in a supervisory, administrative, managerial or consultative capacity, and at least an additional six months of full-time professional experience as described in “1"" above.",Not listed,Not listed,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","Click on the ""Apply to"" button.",Not listed,454276
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity",Not listed,"The Family Court Legal Services Division is primarily responsible for representing The Administration for Children’s Services in child neglect and abuse cases, permanency hearings, juvenile delinquency hearings and other child welfare proceedings in the five Family Courts. FCLS attorneys work collaboratively with ACS Child Protective Specialists (CPS), foster care agency case planners and other ACS staff and child welfare stakeholders to further the agency’s mission on behalf of children, youth and families. The Deputy Borough Chief will be part of the borough's management team and be involved with and responsible for the overall management of the borough's law office.

Duties will include:
- Providing direct supervision to attorneys of all levels;
- Screening cases for intake; providing legal counsel to ACS Program areas;
- Representing the agency in meetings and Family Court;
- Providing training to attorneys and case work staff;
- Consulting with program area managers on case deferrals and settlements; 
- Maintaining a caseload that includes both pre-trial and post-trial cases.

The selected candidate must have a demonstrated commitment to permanency advocacy, evidenced by a strong, working knowledge of ACS policies related to permanency planning. The candidate must also be skilled at ensuring that the agency is working to achieve permanency for the children in its care, as demonstrated by his or her capacity to advise and counsel case workers and agency workers concerning permanency and by his or her skill at advocating both on and off the record to ensure that the agency is securing reasonable efforts.","Admission to the New York State Bar; and four years of recent full-time responsible, relevant, satisfactory legal experience subsequent to admission to any bar, eighteen months of which must have been in the supervision of other attorneys, in an administrative, managerial or executive capacity, or performing highly complex and significant legal work.

Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.","The preferred candidate should possess strong verbal and written communication skills; be knowledgeable of Article Ten, Article Seven and Social Services law and practice; be a team player; and possess solid organizational and management skills.",Not listed,New York City Residency is not required for this position.,"Click ""Apply Now"" button",Not listed,455441
"Note: It is important that you have filed for, take and pass the Open Competitive exam# 0192 for the civil
service title listed above in order to avoid being “bumped” out of your position when the Eligible List for
this title is established.

Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and
maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.",Not listed,"New York City Administration for Children’scServices, Division of Youth and Family Justice (DYFJ) provides secure and non-secure detention (NSD) services for Juvenile Delinquents and Juvenile Offenders whose cases are pending in the Family or Criminal Courts. Judges decide whether youth should be detained while their court cases are being resolved, and in which type of residential setting youth should reside, depending on the youth’s risk level.

The Administration for Children’s Services is currently seeking qualified applicants for the position of Youth Development Specialist (YDS). This position is an integral part of an interdisciplinary team responsible for the custody, direct care, supervision, counseling, and accountability of youths in the custody of the Administration for Children’s Services in juvenile detention facilities. Youth Development Specialists, under direct supervision during an assigned tour of duty, will perform the following duties:

• Facilitate, engage and support youth in all activities, including school, wake-up and bedtime routines, meals, chores, recreation, religious services, court preparation, court attendance, family visits, health care visits and other activities as necessary.
• Facilitate youth learning of pro-social, academic, and vocational skills.
• Mentor and guide youth individually and in groups while using a behavior management system to shape youth behavior.
• Facilitate youth group meetings in the residential unit and elsewhere.
• Address conflicts with crisis intervention methods such as verbal de-escalation, reframing strategies, and physical de-escalation techniques, using the least amount of physical intervention necessary.
• May serve as part of a rapid response team to respond to emergency situations.
• Work with youth to provide gang remediation activities and anti-bullying and violence reduction interventions.
• As part of an interdisciplinary team, develop individualized and group treatment, programming, and safety plans and support for academic achievement.
• Follow all policies and procedures including health, safety, and security protocols such as those concerning searches, headcounts, bed checks, intervention in volatile situations, the use of restraints, and others.
• Observe youth closely and record observations.
• Complete required reports on attendance, incidents, and behavior observations.
• Participate in youth admission and orientation processes.
• Drive transport vehicles and ensure youth safety in vehicles and court detention rooms.","1. 1. A four year high school diploma or its educational equivalent approved by a State’s department of education or a recognized accrediting organization, and two years of full-time satisfactory experience working directly with juveniles or young adults (ages 10-24) in a group, community, educational, or institutional setting or program performing recreational, juvenile detention, vocational, mentoring, or anti-violence work; or youth leadership development, young adult leadership development, youth and family health promotion, community organizing with youth and families, and/or closely related activities, which can include internships, volunteer work, athletic programs, or closely related experience; or

2. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by one year and three months of full-time satisfactory experience as described in “1” above; or

3. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; and nine months of full-time satisfactory experience as described in “1” above; or

4. A baccalaureate degree from an accredited college including or supplemented by at least six months experience as described in “1” above; or

5. A baccalaureate degree from an accredited college including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; or

6. A satisfactory combination of education and/or experience equivalent to “1”, “2”, or “3” above:
a. Honorable full-time United States military service commanding young adults (up to age 24) may be substituted for experience as described in “1” above, on a year-for-year basis, up to a maximum of two years of military service for two years of experience;
b. Academic coursework in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field may be substituted for experience as described in “1” above, at the rate of 12 semester credits from an accredited college for 6 months of experience;
c. General undergraduate education may be substituted for experience as described in “1” above, at the rate of 60 semester credits from an accredited college for 9 months of experience;

However, all candidates must possess a four year high school diploma or its educational equivalent.",Not listed,Not listed,New York City Residency is not required for this position,"Click on the ""Apply Now"" button.",Not listed,451270
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and
maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.",Not listed,"PLEASE NOTE: To apply candidates must have taken and passed the SUP II(SS) promo exam #9530 in order to avoid being “bumped” out of your position when the eligible list for this title is established.
Employees who are permanent in the civil service title of Supervisor II (Social Services) can apply.


The Special Referral Unit (SRU) works expeditiously to facilitate enrollments for high-priority families--which are protective, preventive and foster care children. This work being handled timely by SRU is critical to the need of the agency’s child welfare population. The SRU Supervisor works closely with caseworker staff to ensure that priority family cases are handled expeditiously. As a lead, the Supervisor ensures that staff are provided with the proper guidance and training in order to process child care for these vulnerable families. The Supervisor also creates a smooth channel between the unit and child welfare agencies, so that child care information necessary to facilitate enrollment is obtained. Child care options such as Early Learn and vouchers are explained in detail and processed for child care to be enrolled for these families. Supervisor also resolves issues and barriers to child care with outreach to families and external agencies. The SRU Supervisor has responsibilities which include but not limited to:

• Oversee the work activities and performance of responsibilities of staff in the Special Referral Unit to ensure that the unit reaches out to child welfare agency staff and families and that appropriate procedures are followed in completing the process for referring families for child care services and subsidies.
• Supervising staff in the Special Referral Unit, completing performance appraisals, and overseeing time and leave.
• Provide training as necessary and appropriate in child care service and subsidy referral processes.
• Coordinate with CFWB and other ACS units, and external child care provider programs, to ensure smooth implementation of child care service/subsidy referrals and enrollments in contracted care/EarlyLearn programs.
• Develop, maintain and update complex and responsive work activity reports.
• Develop, implement and assist special projects as required.","A baccalaureate degree from an accredited college and two years of full-time satisfactory experience in social casework, at least one year of which must have been in a supervisory capacity.","Ability to manage staff and foster team continuity Excellent organizational and problem-solving skills.
Ability to communicate across division and with external stakeholders.
Capable of showing empathy in engaging vulnerable families.
Quick starter and able to grasp information regarding SRU vouchers and systems.
Manage and prioritize tasks to control the flow of work.
Proficiency in Microsoft Excel, Work and Outlook.",Not listed,New York City Residency is not required for this position,"Click the ""Apply Now"" button.",Not listed,440133
"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity",Not listed,"The New York City Administration for Children’s Services is seeking a dynamic and innovative systems thinker with a track record in change management, program development, systems change and planning to lead the first of its kind, child welfare primary prevention division to serve as Deputy Commissioner for Child and Family Well-Being.

This position is an integral member of the leadership team for ACS, one of the country’s premier children’s services agencies dedicated to strengthening NYC’s families and their 1.8 million children.  The Division of Child and Family Well-Being (CFWB) is committed to providing programming that reduces children and family engagement with the child welfare system, by reducing exposure to toxic stress; providing tools to help mitigate stressors; and, increasing protective factors in high need communities. 

The DC will manage all programs in the division, including child care vouchers; management of the child care development block grant; safe sleep initiative; safe medication initiative; community partnership programs; family enrichment centers; the Office of Equity Strategies; and smaller pilot initiatives.  Given that CFWB is a new division, the DC will build the existing portfolio of programs by seeding new programs and develop sustainability plans for existing programs. 

The DC will be responsible for administering New York City’s Child Care Block Grant, in partnership with the Department of Education and the Human Resources Administration. In this capacity, the DC will be responsible for regular reporting to the New York State Office of Children and Family Services; providing oversite to the Department of Education’s use of CCDBG funding for child care; and, leading the management of client support and voucher recertification systems.

The DC will coordinate policies and services with numerous other public and private agencies including community-based contract agencies; New York State’s Office of Children and Family Services; the US Department of Health and Human Services; NYC’s Departments of Education, Health and Mental Hygiene, Human Resources Administration, Office of Management and Budget; child development advocacy groups, and others. Furthermore, the DC will engage in community building and developing and nurturing sustainable partnerships. 

The DC will utilize both content-based knowledge, strong management skills and creativity to serve as a visionary, developer and implementer of this young division, using the existing strategic framework, plan and programmatic portfolio to successfully grow the division.","1. A master's degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field, and two years of satisfactory full-time professional experience in one or a combination of the following: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; in management or methods analysis, operations research, organizational research or program evaluation; in personnel or public administration, recruitment, position classification, personnel relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation, or fiscal management; or in a related area. 18 months of this experience must have been in an executive, managerial, administrative or supervisory capacity. Supervision must have included supervising staff performing professional work in the areas described above; or
2. A baccalaureate degree from an accredited college and four years of professional experience in the areas described in ""1"" above, including the 18 months of executive, managerial, administrative or supervisory experience, as described in ""1"" above.","Candidates must have experience in public and/or non-profit health and human service sectors or in related programs that serve children and families. They must have experience managing relatively large and complex service delivery organizations, preferably ones that provide services through a mix of contracted and internal services.

Leadership, organizational development, financial management and human resources skills are critical, as well as the ability to collaborate effectively with peers and with stakeholders within and outside of government.

Candidates must have a graduate degree in, organizational psychology, human services, public policy/administration, business administration, social work, or a related field.

Candidates must demonstrate competency in other areas including the following:
Designing and leading innovative initiatives in a transparent and inclusive way that builds on team assets;
change management;
participatory community planning
Strategic thinking and planning,
Collaboration and teamwork,
Holding people accountable,
Developing others,
Results oriented,
Research / data analysis skills,
Writing and presentation skills,
Grant writing,
Fundraising
Partnership development,
program integration fundraising;
ability to effectively lead and work in a multi-disciplinary team;
consensus builder;
Strong Microsoft office skills, including power point and excel,
Impact and influence, and
Communications (spoken and written).
Values: equity, community voices; asset-based planning

Preference will be given to candidates that demonstrate competency in the following programmatic areas: 
Primary Prevention;
Collective Impact;
Two-Generation modeling;",Not listed,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","Click on ""Apply Now"" button",Not listed,432041
